2018-03-26 11:52:09.402 [http-nio-8004-exec-8] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 11:59:44.755 [http-nio-8004-exec-4] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 12:06:00.367 [http-nio-8004-exec-1] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 12:10:58.002 [http-nio-8004-exec-3] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@d201f8c4: Principal: 29411966872002560; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 12:13:53.482 [http-nio-8004-exec-5] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@d201f8c4: Principal: 29411966872002560; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 12:13:55.963 [http-nio-8004-exec-6] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@d201f8c4: Principal: 29411966872002560; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 12:39:00.160 [http-nio-8004-exec-8] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@d201f8c4: Principal: 29411966872002560; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 14:58:00.675 [http-nio-8004-exec-10] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 14:58:44.848 [http-nio-8004-exec-5] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 14:58:57.444 [http-nio-8004-exec-9] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 15:03:44.158 [http-nio-8004-exec-1] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
